param nLayers := 11;
 1 1280 8297 1
 1 1280 8299 0
 1 1281 8298 1
 1 1281 8300 0
 1 1282 8299 1
 1 1282 8301 0
 1 1283 8300 1
 1 1283 8302 0
 1 1284 8301 1
 1 1284 8303 0
 1 1285 8302 1
 1 1285 8304 0
 1 1286 8303 1
 1 1286 8305 0
 1 1287 destination 0
 1 8295 7910 1
 1 8295 7911 0
 1 8296 7910 1
 1 8296 7912 0
 1 8297 7911 1
 1 8297 7913 0
 1 8298 7912 1
 1 8298 7914 0
 1 8299 7913 1
 1 8299 7915 0
 1 8300 7914 1
 1 8300 7916 0
 1 8301 7915 1
 1 8301 7917 0
 1 8302 7916 1
 1 8302 7918 0
 1 8303 7917 1
 1 8303 7919 0
 1 8304 7918 1
 1 8304 7920 0
 1 8305 destination 0
 1 7910 4445 1
 1 7910 4446 0
 1 7911 4445 1
 1 7911 4447 0
 1 7912 4446 1
 1 7912 4448 0
 1 7913 4447 1
 1 7913 4449 0
 1 7914 4448 1
 1 7914 4450 0
 1 7915 4449 1
 1 7915 4451 0
 1 7916 4450 1
 1 7916 4452 0
 1 7917 4451 1
 1 7917 4453 0
 1 7918 4452 1
 1 7918 4454 0
 1 7919 4453 1
 1 7919 4455 0
 1 7920 destination 0
 1 4445 4148 1
 1 4445 4149 0
 1 4446 4148 1
 1 4446 4150 0
 1 4447 4149 1
 1 4447 4151 0
 1 4448 4150 1
 1 4448 4152 0
 1 4449 4151 1
 1 4449 4153 0
 1 4450 4152 1
 1 4450 4154 0
 1 4451 4153 1
 1 4451 4155 0
 1 4452 4154 1
 1 4452 4156 0
 1 4453 4155 1
 1 4453 4157 0
 1 4454 4156 1
 1 4454 4158 0
 1 4455 destination 0
 1 4148 9516 1
 1 4148 9517 0
 1 4149 9516 1
 1 4149 9518 0
 1 4150 9517 1
 1 4150 9519 0
 1 4151 9518 1
 1 4151 9520 0
 1 4152 9519 1
 1 4152 9521 0
 1 4153 9520 1
 1 4153 9522 0
 1 4154 9521 1
 1 4154 9523 0
 1 4155 9522 1
 1 4155 9524 0
 1 4156 9523 1
 1 4156 9525 0
 1 4157 9524 1
 1 4157 9526 0
 1 4158 destination 0
 1 9516 3741 1
 1 9516 3742 0
 1 9517 3741 1
 1 9517 3743 0
 1 9518 3742 1
 1 9518 3744 0
 1 9519 3743 1
 1 9519 3745 0
 1 9520 3744 1
 1 9520 3746 0
 1 9521 3745 1
 1 9521 3747 0
 1 9522 3746 1
 1 9522 3748 0
 1 9523 3747 1
 1 9523 3749 0
 1 9524 3748 1
 1 9524 3750 0
 1 9525 3749 1
 1 9525 3751 0
 1 9526 destination 0
 1 3741 8768 1
 1 3741 8769 0
 1 3742 8768 1
 1 3742 8770 0
 1 3743 8769 1
 1 3743 8771 0
 1 3744 8770 1
 1 3744 8772 0
 1 3745 8771 1
 1 3745 8773 0
 1 3746 8772 1
 1 3746 8774 0
 1 3747 8773 1
 1 3747 8775 0
 1 3748 8774 1
 1 3748 8776 0
 1 3749 8775 1
 1 3749 8777 0
 1 3750 8776 1
 1 3750 8778 0
 1 3751 destination 0
 1 8768 2806 1
 1 8768 2807 0
 1 8769 2806 1
 1 8769 2808 0
 1 8770 2807 1
 1 8770 2809 0
 1 8771 2808 1
 1 8771 2810 0
 1 8772 2809 1
 1 8772 2811 0
 1 8773 2810 1
 1 8773 2812 0
 1 8774 2811 1
 1 8774 2813 0
 1 8775 2812 1
 1 8775 2814 0
 1 8776 2813 1
 1 8776 2815 0
 1 8777 2814 1
 1 8777 2816 0
 1 8778 destination 0
 1 2806 595 1
 1 2806 596 0
 1 2807 595 1
 1 2807 597 0
 1 2808 596 1
 1 2808 598 0
 1 2809 597 1
 1 2809 599 0
 1 2810 598 1
 1 2810 600 0
 1 2811 599 1
 1 2811 601 0
 1 2812 600 1
 1 2812 602 0
 1 2813 601 1
 1 2813 603 0
 1 2814 602 1
 1 2814 604 0
 1 2815 603 1
 1 2815 605 0
 1 2816 destination 0
 1 595 7063 1
 1 595 7064 0
 1 596 7063 1
 1 596 7065 0
 1 597 7064 1
 1 597 7066 0
 1 598 7065 1
 1 598 7067 0
 1 599 7066 1
 1 599 7068 0
 1 600 7067 1
 1 600 7069 0
 1 601 7068 1
 1 601 7070 0
 1 602 7069 1
 1 602 7071 0
 1 603 7070 1
 1 603 7072 0
 1 604 7071 1
 1 604 7073 0
 1 605 destination 0
 1 7063 5061 1
 1 7063 5062 0
 1 7064 5061 1
 1 7064 5063 0
 1 7065 5062 1
 1 7065 5064 0
 1 7066 5063 1
 1 7066 5065 0
 1 7067 5064 1
 1 7067 5066 0
 1 7068 5065 1
 1 7068 5067 0
 1 7069 5066 1
 1 7069 5068 0
 1 7070 5067 1
 1 7070 5069 0
 1 7071 5068 1
 1 7071 5070 0
 1 7072 5069 1
 1 7072 5071 0
 1 7073 destination 0
 1 5061 3411 1
 1 5061 3412 0
 1 5062 3411 1
 1 5062 3413 0
 1 5063 3412 1
 1 5063 3414 0
 1 5064 3413 1
 1 5064 3415 0
 1 5065 3414 1
 1 5065 3416 0
 1 5066 3415 1
 1 5066 3417 0
 1 5067 3416 1
 1 5067 3418 0
 1 5068 3417 1
 1 5068 3419 0
 1 5069 3418 1
 1 5069 3420 0
 1 5070 3419 1
 1 5070 3421 0
 1 5071 destination 0
 1 3411 5347 1
 1 3411 5348 0
 1 3412 5347 1
 1 3412 5349 0
 1 3413 5348 1
 1 3413 5350 0
 1 3414 5349 1
 1 3414 5351 0
 1 3415 5350 1
 1 3415 5352 0
 1 3416 5351 1
 1 3416 5353 0
 1 3417 5352 1
 1 3417 5354 0
 1 3418 5353 1
 1 3418 5355 0
 1 3419 5354 1
 1 3419 5356 0
 1 3420 5355 1
 1 3420 5357 0
 1 3421 destination 0
 1 5347 5534 1
 1 5347 5535 0
 1 5348 5534 1
 1 5348 5536 0
 1 5349 5535 1
 1 5349 5537 0
 1 5350 5536 1
 1 5350 5538 0
 1 5351 5537 1
 1 5351 5539 0
 1 5352 5538 1
 1 5352 5540 0
 1 5353 5539 1
 1 5353 5541 0
 1 5354 5540 1
 1 5354 5542 0
 1 5355 5541 1
 1 5355 5543 0
 1 5356 5542 1
 1 5356 5544 0
 1 5357 destination 0
 1 5534 5358 1
 1 5534 5361 0
 1 5535 5358 1
 1 5535 5362 0
 1 5536 5358 1
 1 5536 5363 0
 1 5537 5358 1
 1 5537 5364 0
 1 5538 5359 1
 1 5538 5365 0
 1 5539 5360 1
 1 5539 5366 0
 1 5540 5361 1
 1 5540 5367 0
 1 5541 5362 1
 1 5541 5368 0
 1 5542 5363 1
 1 5542 5368 0
 1 5543 5364 1
 1 5543 5368 0
 1 5544 destination 0
 1 5358 507 1
 1 5358 508 0
 1 5359 507 1
 1 5359 509 0
 1 5360 508 1
 1 5360 510 0
 1 5361 509 1
 1 5361 511 0
 1 5362 510 1
 1 5362 512 0
 1 5363 511 1
 1 5363 513 0
 1 5364 512 1
 1 5364 514 0
 1 5365 513 1
 1 5365 515 0
 1 5366 514 1
 1 5366 516 0
 1 5367 515 1
 1 5367 517 0
 1 5368 destination 0
 1 507 8548 1
 1 507 8549 0
 1 508 8548 1
 1 508 8550 0
 1 509 8549 1
 1 509 8551 0
 1 510 8550 1
 1 510 8552 0
 1 511 8551 1
 1 511 8553 0
 1 512 8552 1
 1 512 8554 0
 1 513 8553 1
 1 513 8555 0
 1 514 8554 1
 1 514 8556 0
 1 515 8555 1
 1 515 8557 0
 1 516 8556 1
 1 516 8558 0
 1 517 destination 0
 1 8548 2960 1
 1 8548 2961 0
 1 8549 2960 1
 1 8549 2962 0
 1 8550 2961 1
 1 8550 2963 0
 1 8551 2962 1
 1 8551 2964 0
 1 8552 2963 1
 1 8552 2965 0
 1 8553 2964 1
 1 8553 2966 0
 1 8554 2965 1
 1 8554 2967 0
 1 8555 2966 1
 1 8555 2968 0
 1 8556 2967 1
 1 8556 2969 0
 1 8557 2968 1
 1 8557 2970 0
 1 8558 destination 0
 1 2960 3114 1
 1 2960 3115 0
 1 2961 3114 1
 1 2961 3116 0
 1 2962 3115 1
 1 2962 3117 0
 1 2963 3116 1
 1 2963 3118 0
 1 2964 3117 1
 1 2964 3119 0
 1 2965 3118 1
 1 2965 3120 0
 1 2966 3119 1
 1 2966 3121 0
 1 2967 3120 1
 1 2967 3122 0
 1 2968 3121 1
 1 2968 3123 0
 1 2969 3122 1
 1 2969 3124 0
 1 2970 destination 0
 1 3114 1244 1
 1 3114 1245 0
 1 3115 1244 1
 1 3115 1246 0
 1 3116 1245 1
 1 3116 1247 0
 1 3117 1246 1
 1 3117 1248 0
 1 3118 1247 1
 1 3118 1249 0
 1 3119 1248 1
 1 3119 1250 0
 1 3120 1249 1
 1 3120 1251 0
 1 3121 1250 1
 1 3121 1252 0
 1 3122 1251 1
 1 3122 1253 0
 1 3123 1252 1
 1 3123 1254 0
 1 3124 destination 0
 1 1244 7866 1
 1 1244 7867 0
 1 1245 7866 1
 1 1245 7868 0
 1 1246 7867 1
 1 1246 7869 0
 1 1247 7868 1
 1 1247 7870 0
 1 1248 7869 1
 1 1248 7871 0
 1 1249 7870 1
 1 1249 7872 0
 1 1250 7871 1
 1 1250 7873 0
 1 1251 7872 1
 1 1251 7874 0
 1 1252 7873 1
 1 1252 7875 0
 1 1253 7874 1
 1 1253 7876 0
 1 1254 destination 0
 1 7866 4060 1
 1 7866 4061 0
 1 7867 4060 1
 1 7867 4062 0
 1 7868 4061 1
 1 7868 4063 0
 1 7869 4062 1
 1 7869 4064 0
 1 7870 4063 1
 1 7870 4065 0
 1 7871 4064 1
 1 7871 4066 0
 1 7872 4065 1
 1 7872 4067 0
 1 7873 4066 1
 1 7873 4068 0
 1 7874 4067 1
 1 7874 4069 0
 1 7875 4068 1
 1 7875 4070 0
 1 7876 destination 0
 1 4060 2113 1
 1 4060 2114 0
 1 4061 2113 1
 1 4061 2115 0
 1 4062 2114 1
 1 4062 2116 0
 1 4063 2115 1
 1 4063 2117 0
 1 4064 2116 1
 1 4064 2118 0
 1 4065 2117 1
 1 4065 2119 0
 1 4066 2118 1
 1 4066 2120 0
 1 4067 2119 1
 1 4067 2121 0
 1 4068 2120 1
 1 4068 2122 0
 1 4069 2121 1
 1 4069 2123 0
 1 4070 destination 0
 1 2113 7767 1
 1 2113 7768 0
 1 2114 7767 1
 1 2114 7769 0
 1 2115 7768 1
 1 2115 7770 0
 1 2116 7769 1
 1 2116 7771 0
 1 2117 7770 1
 1 2117 7772 0
 1 2118 7771 1
 1 2118 7773 0
 1 2119 7772 1
 1 2119 7774 0
 1 2120 7773 1
 1 2120 7775 0
 1 2121 7774 1
 1 2121 7776 0
 1 2122 7775 1
 1 2122 7777 0
 1 2123 destination 0
 1 7767 6073 1
 1 7767 6074 0
 1 7768 6073 1
 1 7768 6075 0
 1 7769 6074 1
 1 7769 6076 0
 1 7770 6075 1
 1 7770 6077 0
 1 7771 6076 1
 1 7771 6078 0
 1 7772 6077 1
 1 7772 6079 0
 1 7773 6078 1
 1 7773 6080 0
 1 7774 6079 1
 1 7774 6081 0
 1 7775 6080 1
 1 7775 6082 0
 1 7776 6081 1
 1 7776 6083 0
 1 7777 destination 0
 1 6073 3796 1
 1 6073 3797 0
 1 6074 3796 1
 1 6074 3798 0
 1 6075 3797 1
 1 6075 3799 0
 1 6076 3798 1
 1 6076 3800 0
 1 6077 3799 1
 1 6077 3801 0
 1 6078 3800 1
 1 6078 3802 0
 1 6079 3801 1
 1 6079 3803 0
 1 6080 3802 1
 1 6080 3804 0
 1 6081 3803 1
 1 6081 3805 0
 1 6082 3804 1
 1 6082 3806 0
 1 6083 destination 0
 1 3796 441 1
 1 3796 442 0
 1 3797 441 1
 1 3797 443 0
 1 3798 442 1
 1 3798 444 0
 1 3799 443 1
 1 3799 445 0
 1 3800 444 1
 1 3800 446 0
 1 3801 445 1
 1 3801 447 0
 1 3802 446 1
 1 3802 448 0
 1 3803 447 1
 1 3803 449 0
 1 3804 448 1
 1 3804 450 0
 1 3805 449 1
 1 3805 451 0
 1 3806 destination 0
 1 441 5523 1
 1 441 5524 0
 1 442 5523 1
 1 442 5525 0
 1 443 5524 1
 1 443 5526 0
 1 444 5525 1
 1 444 5527 0
 1 445 5526 1
 1 445 5528 0
 1 446 5527 1
 1 446 5529 0
 1 447 5528 1
 1 447 5530 0
 1 448 5529 1
 1 448 5531 0
 1 449 5530 1
 1 449 5532 0
 1 450 5531 1
 1 450 5533 0
 1 451 destination 0
 1 5523 5072 1
 1 5523 5073 0
 1 5524 5072 1
 1 5524 5074 0
 1 5525 5073 1
 1 5525 5075 0
 1 5526 5074 1
 1 5526 5076 0
 1 5527 5075 1
 1 5527 5077 0
 1 5528 5076 1
 1 5528 5078 0
 1 5529 5077 1
 1 5529 5079 0
 1 5530 5078 1
 1 5530 5080 0
 1 5531 5079 1
 1 5531 5081 0
 1 5532 5080 1
 1 5532 5082 0
 1 5533 destination 0
 1 5072 2311 1
 1 5072 2312 0
 1 5073 2311 1
 1 5073 2313 0
 1 5074 2312 1
 1 5074 2314 0
 1 5075 2313 1
 1 5075 2315 0
 1 5076 2314 1
 1 5076 2316 0
 1 5077 2315 1
 1 5077 2317 0
 1 5078 2316 1
 1 5078 2318 0
 1 5079 2317 1
 1 5079 2319 0
 1 5080 2318 1
 1 5080 2320 0
 1 5081 2319 1
 1 5081 2321 0
 1 5082 destination 0
 1 2311 3389 1
 1 2311 3390 0
 1 2312 3389 1
 1 2312 3391 0
 1 2313 3390 1
 1 2313 3392 0
 1 2314 3391 1
 1 2314 3393 0
 1 2315 3392 1
 1 2315 3394 0
 1 2316 3393 1
 1 2316 3395 0
 1 2317 3394 1
 1 2317 3396 0
 1 2318 3395 1
 1 2318 3397 0
 1 2319 3396 1
 1 2319 3398 0
 1 2320 3397 1
 1 2320 3399 0
 1 2321 destination 0
 1 3389 4720 1
 1 3389 4721 0
 1 3390 4720 1
 1 3390 4722 0
 1 3391 4721 1
 1 3391 4723 0
 1 3392 4722 1
 1 3392 4724 0
 1 3393 4723 1
 1 3393 4725 0
 1 3394 4724 1
 1 3394 4726 0
 1 3395 4725 1
 1 3395 4727 0
 1 3396 4726 1
 1 3396 4728 0
 1 3397 4727 1
 1 3397 4729 0
 1 3398 4728 1
 1 3398 4730 0
 1 3399 destination 0
 1 4720 8350 1
 1 4720 8351 0
 1 4721 8350 1
 1 4721 8352 0
 1 4722 8351 1
 1 4722 8353 0
 1 4723 8352 1
 1 4723 8354 0
 1 4724 8353 1
 1 4724 8355 0
 1 4725 8354 1
 1 4725 8356 0
 1 4726 8355 1
 1 4726 8357 0
 1 4727 8356 1
 1 4727 8358 0
 1 4728 8357 1
 1 4728 8359 0
 1 4729 8358 1
 1 4729 8360 0
 1 4730 destination 0
 1 8350 5424 1
 1 8350 5425 0
 1 8351 5424 1
 1 8351 5426 0
 1 8352 5425 1
 1 8352 5427 0
 1 8353 5426 1
 1 8353 5428 0
 1 8354 5427 1
 1 8354 5429 0
 1 8355 5428 1
 1 8355 5430 0
 1 8356 5429 1
 1 8356 5431 0
 1 8357 5430 1
 1 8357 5432 0
 1 8358 5431 1
 1 8358 5433 0
 1 8359 5432 1
 1 8359 5434 0
 1 8360 destination 0
 1 5424 1552 1
 1 5424 1553 0
 1 5425 1552 1
 1 5425 1554 0
 1 5426 1553 1
 1 5426 1555 0
 1 5427 1554 1
 1 5427 1556 0
 1 5428 1555 1
 1 5428 1557 0
 1 5429 1556 1
 1 5429 1558 0
 1 5430 1557 1
 1 5430 1559 0
 1 5431 1558 1
 1 5431 1560 0
 1 5432 1559 1
 1 5432 1561 0
 1 5433 1560 1
 1 5433 1562 0
 1 5434 destination 0
 1 1552 2586 1
 1 1552 2587 0
 1 1553 2586 1
 1 1553 2588 0
 1 1554 2587 1
 1 1554 2589 0
 1 1555 2588 1
 1 1555 2590 0
 1 1556 2589 1
 1 1556 2591 0
 1 1557 2590 1
 1 1557 2592 0
 1 1558 2591 1
 1 1558 2593 0
 1 1559 2592 1
 1 1559 2594 0
 1 1560 2593 1
 1 1560 2595 0
 1 1561 2594 1
 1 1561 2596 0
 1 1562 destination 0
 1 2586 9571 1
 1 2586 9572 0
 1 2587 9571 1
 1 2587 9573 0
 1 2588 9572 1
 1 2588 9574 0
 1 2589 9573 1
 1 2589 9575 0
 1 2590 9574 1
 1 2590 9576 0
 1 2591 9575 1
 1 2591 9577 0
 1 2592 9576 1
 1 2592 9578 0
 1 2593 9577 1
 1 2593 9579 0
 1 2594 9578 1
 1 2594 9580 0
 1 2595 9579 1
 1 2595 9581 0
 1 2596 destination 0
 1 9571 6788 1
 1 9571 6789 0
 1 9572 6788 1
 1 9572 6790 0
 1 9573 6789 1
 1 9573 6791 0
 1 9574 6790 1
 1 9574 6792 0
 1 9575 6791 1
 1 9575 6793 0
 1 9576 6792 1
 1 9576 6794 0
 1 9577 6793 1
 1 9577 6795 0
 1 9578 6794 1
 1 9578 6796 0
 1 9579 6795 1
 1 9579 6797 0
 1 9580 6796 1
 1 9580 6798 0
 1 9581 destination 0
 1 6788 8449 1
 1 6788 8450 0
 1 6789 8449 1
 1 6789 8451 0
 1 6790 8450 1
 1 6790 8452 0
 1 6791 8451 1
 1 6791 8453 0
 1 6792 8452 1
 1 6792 8454 0
 1 6793 8453 1
 1 6793 8455 0
 1 6794 8454 1
 1 6794 8456 0
 1 6795 8455 1
 1 6795 8457 0
 1 6796 8456 1
 1 6796 8458 0
 1 6797 8457 1
 1 6797 8459 0
 1 6798 destination 0
 1 8449 474 1
 1 8449 476 0
 1 8450 474 1
 1 8450 477 0
 1 8451 474 1
 1 8451 478 0
 1 8452 475 1
 1 8452 479 0
 1 8453 476 1
 1 8453 480 0
 1 8454 477 1
 1 8454 481 0
 1 8455 478 1
 1 8455 482 0
 1 8456 479 1
 1 8456 483 0
 1 8457 480 1
 1 8457 484 0
 1 8458 481 1
 1 8458 484 0
 1 8459 destination 0
 1 474 8889 1
 1 474 8890 0
 1 475 8889 1
 1 475 8891 0
 1 476 8890 1
 1 476 8892 0
 1 477 8891 1
 1 477 8893 0
 1 478 8892 1
 1 478 8894 0
 1 479 8893 1
 1 479 8895 0
 1 480 8894 1
 1 480 8896 0
 1 481 8895 1
 1 481 8897 0
 1 482 8896 1
 1 482 8898 0
 1 483 8897 1
 1 483 8899 0
 1 484 destination 0
 1 8889 2421 1
 1 8889 2422 0
 1 8890 2421 1
 1 8890 2423 0
 1 8891 2422 1
 1 8891 2424 0
 1 8892 2423 1
 1 8892 2425 0
 1 8893 2424 1
 1 8893 2426 0
 1 8894 2425 1
 1 8894 2427 0
 1 8895 2426 1
 1 8895 2428 0
 1 8896 2427 1
 1 8896 2429 0
 1 8897 2428 1
 1 8897 2430 0
 1 8898 2429 1
 1 8898 2431 0
 1 8899 destination 0
 1 2421 4874 1
 1 2421 4875 0
 1 2422 4874 1
 1 2422 4876 0
 1 2423 4875 1
 1 2423 4877 0
 1 2424 4876 1
 1 2424 4878 0
 1 2425 4877 1
 1 2425 4879 0
 1 2426 4878 1
 1 2426 4880 0
 1 2427 4879 1
 1 2427 4881 0
 1 2428 4880 1
 1 2428 4882 0
 1 2429 4881 1
 1 2429 4883 0
 1 2430 4882 1
 1 2430 4884 0
 1 2431 destination 0
 1 4874 7778 1
 1 4874 7779 0
 1 4875 7778 1
 1 4875 7780 0
 1 4876 7779 1
 1 4876 7781 0
 1 4877 7780 1
 1 4877 7782 0
 1 4878 7781 1
 1 4878 7783 0
 1 4879 7782 1
 1 4879 7784 0
 1 4880 7783 1
 1 4880 7785 0
 1 4881 7784 1
 1 4881 7786 0
 1 4882 7785 1
 1 4882 7787 0
 1 4883 7786 1
 1 4883 7788 0
 1 4884 destination 0
 1 7778 9703 1
 1 7778 9704 0
 1 7779 9703 1
 1 7779 9705 0
 1 7780 9704 1
 1 7780 9706 0
 1 7781 9705 1
 1 7781 9707 0
 1 7782 9706 1
 1 7782 9708 0
 1 7783 9707 1
 1 7783 9709 0
 1 7784 9708 1
 1 7784 9710 0
 1 7785 9709 1
 1 7785 9711 0
 1 7786 9710 1
 1 7786 9712 0
 1 7787 9711 1
 1 7787 9713 0
 1 7788 destination 0
 1 9703 9076 1
 1 9703 9077 0
 1 9704 9076 1
 1 9704 9078 0
 1 9705 9077 1
 1 9705 9079 0
 1 9706 9078 1
 1 9706 9080 0
 1 9707 9079 1
 1 9707 9081 0
 1 9708 9080 1
 1 9708 9082 0
 1 9709 9081 1
 1 9709 9083 0
 1 9710 9082 1
 1 9710 9084 0
 1 9711 9083 1
 1 9711 9085 0
 1 9712 9084 1
 1 9712 9086 0
 1 9713 destination 0
 1 9076 8592 1
 1 9076 8593 0
 1 9077 8592 1
 1 9077 8594 0
 1 9078 8593 1
 1 9078 8595 0
 1 9079 8594 1
 1 9079 8596 0
 1 9080 8595 1
 1 9080 8597 0
 1 9081 8596 1
 1 9081 8598 0
 1 9082 8597 1
 1 9082 8599 0
 1 9083 8598 1
 1 9083 8600 0
 1 9084 8599 1
 1 9084 8601 0
 1 9085 8600 1
 1 9085 8602 0
 1 9086 destination 0
 1 8592 3004 1
 1 8592 3005 0
 1 8593 3004 1
 1 8593 3006 0
 1 8594 3005 1
 1 8594 3007 0
 1 8595 3006 1
 1 8595 3008 0
 1 8596 3007 1
 1 8596 3009 0
 1 8597 3008 1
 1 8597 3010 0
 1 8598 3009 1
 1 8598 3011 0
 1 8599 3010 1
 1 8599 3012 0
 1 8600 3011 1
 1 8600 3013 0
 1 8601 3012 1
 1 8601 3014 0
 1 8602 destination 0
 1 3004 9802 1
 1 3004 9803 0
 1 3005 9802 1
 1 3005 9804 0
 1 3006 9803 1
 1 3006 9805 0
 1 3007 9804 1
 1 3007 9806 0
 1 3008 9805 1
 1 3008 9807 0
 1 3009 9806 1
 1 3009 9808 0
 1 3010 9807 1
 1 3010 9809 0
 1 3011 9808 1
 1 3011 9810 0
 1 3012 9809 1
 1 3012 9811 0
 1 3013 9810 1
 1 3013 9812 0
 1 3014 destination 0
 1 9802 8086 1
 1 9802 8088 0
 1 9803 8086 1
 1 9803 8089 0
 1 9804 8086 1
 1 9804 8090 0
 1 9805 8087 1
 1 9805 8091 0
 1 9806 8088 1
 1 9806 8092 0
 1 9807 8089 1
 1 9807 8093 0
 1 9808 8090 1
 1 9808 8094 0
 1 9809 8091 1
 1 9809 8095 0
 1 9810 8092 1
 1 9810 8096 0
 1 9811 8093 1
 1 9811 8096 0
 1 9812 destination 0
 1 8086 3455 1
 1 8086 3456 0
 1 8087 3455 1
 1 8087 3457 0
 1 8088 3456 1
 1 8088 3458 0
 1 8089 3457 1
 1 8089 3459 0
 1 8090 3458 1
 1 8090 3460 0
 1 8091 3459 1
 1 8091 3461 0
 1 8092 3460 1
 1 8092 3462 0
 1 8093 3461 1
 1 8093 3463 0
 1 8094 3462 1
 1 8094 3464 0
 1 8095 3463 1
 1 8095 3465 0
 1 8096 destination 0
 1 3455 4940 1
 1 3455 4941 0
 1 3456 4940 1
 1 3456 4942 0
 1 3457 4941 1
 1 3457 4943 0
 1 3458 4942 1
 1 3458 4944 0
 1 3459 4943 1
 1 3459 4945 0
 1 3460 4944 1
 1 3460 4946 0
 1 3461 4945 1
 1 3461 4947 0
 1 3462 4946 1
 1 3462 4948 0
 1 3463 4947 1
 1 3463 4949 0
 1 3464 4948 1
 1 3464 4950 0
 1 3465 destination 0
 1 4940 639 1
 1 4940 640 0
 1 4941 639 1
 1 4941 641 0
 1 4942 640 1
 1 4942 642 0
 1 4943 641 1
 1 4943 643 0
 1 4944 642 1
 1 4944 644 0
 1 4945 643 1
 1 4945 645 0
 1 4946 644 1
 1 4946 646 0
 1 4947 645 1
 1 4947 647 0
 1 4948 646 1
 1 4948 648 0
 1 4949 647 1
 1 4949 649 0
 1 4950 destination 0
 1 639 8625 1
 1 639 8626 0
 1 640 8625 1
 1 640 8627 0
 1 641 8626 1
 1 641 8628 0
 1 642 8627 1
 1 642 8629 0
 1 643 8628 1
 1 643 8630 0
 1 644 8629 1
 1 644 8631 0
 1 645 8630 1
 1 645 8632 0
 1 646 8631 1
 1 646 8633 0
 1 647 8632 1
 1 647 8634 0
 1 648 8633 1
 1 648 8635 0
 1 649 destination 0
 1 8625 5842 1
 1 8625 5843 0
 1 8626 5842 1
 1 8626 5844 0
 1 8627 5843 1
 1 8627 5845 0
